"test_num","test_name","metric_name","status","metric_val","commit_message","commit_SHA","commit_date","benchmark_date"
1,"PoissonLoss(seg.mean=0, count=0) == 0","runtime (in seconds)","Pass",0.0010319,"Update testthat","1353ecf3ff28355b0649c83129231e3bcbcf2dfe",2020-05-07 16:28:11,2020-05-07 16:39:07
1,"PoissonLoss(seg.mean=0, count>0) == Inf","runtime (in seconds)","Pass",0.001046,"Update testthat","1353ecf3ff28355b0649c83129231e3bcbcf2dfe",2020-05-07 16:28:11,2020-05-07 16:39:07
1,"PoissonLoss(seg.mean<0) undefined","runtime (in seconds)","Pass",0.0045138,"Update testthat","1353ecf3ff28355b0649c83129231e3bcbcf2dfe",2020-05-07 16:28:11,2020-05-07 16:39:07
1,"PoissonLoss(weight<0) undefined","runtime (in seconds)","Pass",0.0041779,"Update testthat","1353ecf3ff28355b0649c83129231e3bcbcf2dfe",2020-05-07 16:28:11,2020-05-07 16:39:07
1,"PoissonLoss(count=2.5) is 0","runtime (in seconds)","Pass",0.0009383,"Update testthat","1353ecf3ff28355b0649c83129231e3bcbcf2dfe",2020-05-07 16:28:11,2020-05-07 16:39:07
1,"PoissonLoss(count= -2) is 0","runtime (in seconds)","Pass",0.0008675,"Update testthat","1353ecf3ff28355b0649c83129231e3bcbcf2dfe",2020-05-07 16:28:11,2020-05-07 16:39:07
1,"PoissonLoss(count=1 or 0) == -dpois(log=TRUE)","runtime (in seconds)","Pass",0.0017133,"Update testthat","1353ecf3ff28355b0649c83129231e3bcbcf2dfe",2020-05-07 16:28:11,2020-05-07 16:39:07
1,"PoissonLoss(seg.mean=scalar, count=vector) is fine","runtime (in seconds)","Pass",0.0016917,"Update testthat","1353ecf3ff28355b0649c83129231e3bcbcf2dfe",2020-05-07 16:28:11,2020-05-07 16:39:07
1,"PoissonLoss(seg.mean=2-vector, count=3-vector) is an error","runtime (in seconds)","Pass",0.0044721,"Update testthat","1353ecf3ff28355b0649c83129231e3bcbcf2dfe",2020-05-07 16:28:11,2020-05-07 16:39:07
1,"test-PoissonLoss.R","runtime (in seconds)","Pass",0.0584039,"Update testthat","1353ecf3ff28355b0649c83129231e3bcbcf2dfe",2020-05-07 16:28:11,2020-05-07 16:39:07
2,"PoissonLoss(seg.mean=0, count=0) == 0","runtime (in seconds)","Pass",0.0010407,"Update testthat","1353ecf3ff28355b0649c83129231e3bcbcf2dfe",2020-05-07 16:28:11,2020-05-07 16:39:08
2,"PoissonLoss(seg.mean=0, count>0) == Inf","runtime (in seconds)","Pass",0.0011169,"Update testthat","1353ecf3ff28355b0649c83129231e3bcbcf2dfe",2020-05-07 16:28:11,2020-05-07 16:39:08
2,"PoissonLoss(seg.mean<0) undefined","runtime (in seconds)","Pass",0.0042649,"Update testthat","1353ecf3ff28355b0649c83129231e3bcbcf2dfe",2020-05-07 16:28:11,2020-05-07 16:39:08
2,"PoissonLoss(weight<0) undefined","runtime (in seconds)","Pass",0.0046432,"Update testthat","1353ecf3ff28355b0649c83129231e3bcbcf2dfe",2020-05-07 16:28:11,2020-05-07 16:39:08
2,"PoissonLoss(count=2.5) is 0","runtime (in seconds)","Pass",0.000991,"Update testthat","1353ecf3ff28355b0649c83129231e3bcbcf2dfe",2020-05-07 16:28:11,2020-05-07 16:39:08
2,"PoissonLoss(count= -2) is 0","runtime (in seconds)","Pass",0.0009457,"Update testthat","1353ecf3ff28355b0649c83129231e3bcbcf2dfe",2020-05-07 16:28:11,2020-05-07 16:39:08
